{'短评内容': '服务态度不错', '短评打分': 5}
{'短评内容': '酒店还行，房间很大，设施不咋地', '短评打分': 4}
{'短评内容': '很好，很实惠！', '短评打分': 5}
{'短评内容': '很好，很干净！', '短评打分': 5}
{'短评内容': '除了设施有些旧，其他都很好', '短评打分': 5}
{'短评内容': '非常好，酒店干净整洁，上档次，优惠也较多。', '短评打分': 5}
{'短评内容': '很好，房间很干净，位置也很好。', '短评打分': 5}
{'短评内容': '一开始居然没房 给我们一件很破很差劲的单间 也是醉了 定好的居然能没房', '短评打分': 4}
{'短评内容': '值得推荐以后还来', '短评打分': 5}
{'短评内容': '地方明显，房间挺大的，好好的。', '短评打分': 5}
{'短评内容': '酒店还算可以吧，我订的大床房去的时候没有了给我换了标准间。服务人员态度很热情。酒店设施有点旧了。价格适中。', '短评打分': 4}
{'短评内容': '住的还可以吧，价格也算适中。订的大床房，去的时候没有了帮助换成了标间。酒店设施有点旧了。服务人员比较热情。', '短评打分': 4}
{'短评内容': '环境卫生都还不错 满意', '短评打分': 5}
{'短评内容': '房间蛮不错的，住着挺舒服的，已经连住6天了', '短评打分': 3}
{'短评内容': '房间挺好的，很干净，网速很快，下次还会入住', '短评打分': 3}
{'短评内容': '房间蛮宽敞的，就是窗户进不来阳光，其他都还可以，网速很快', '短评打分': 3}
{'短评内容': '房间很宽敞，网上很快，卫生也可以，就是电视频道少点，总体还不错', '短评打分': 3}
{'短评内容': '酒店位置不错，价格也比较适中，适合出差旅行居住。值得推荐。', '短评打分': 5}
{'短评内容': '房间面积较大', '短评打分': 3}
{'短评内容': '房间性价比很高', '短评打分': 3}
{'短评内容': '有的房间窗户对着走廊房间比较黑', '短评打分': 3}
{'短评内容': '还可以..凑活住了.................................', '短评打分': 5}
{'短评内容': '还可以..房间比较大...............................', '短评打分': 5}
{'短评内容': '酒店的房间很有特点，也还算安静，住进去就睡觉。', '短评打分': 5}
{'短评内容': '圆床很有创意，就是有点旧。。墙壁有点脏。其他都还好。布局新颖', '短评打分': 5}
{'短评内容': '圆床的确是亮点，但是热水实在让人生气，不是烫人就是冷水，不知道是龙头问题还是水压问题', '短评打分': 1}
{'短评内容': '环境不错很满意', '短评打分': 3}
{'短评内容': '入住环境很好，很满意。', '短评打分': 5}
{'短评内容': '房间是圆波浪形感觉空间挺大。隔音效果很差。', '短评打分': 5}
{'短评内容': '环境挺好的，热水供应也不错，尤其是那个大圆床，很好很舒服，不过隔音做的有些差强人意，希望以后能有所改进。', '短评打分': 5}
{'短评内容': '与如家相比价格基本相同，但地理位置差多了。性价比不高', '短评打分': 5}
{'短评内容': '性价比不错，就是位置差了点。隔音很差，晚上有骚扰电话，这个价格也算将就了。', '短评打分': 1}
{'短评内容': '不错的地方，酒店比较干净，设施不错，服务也不错。', '短评打分': 5}
{'短评内容': '交通很方便，房间是长方形，面积大，卫生好，但临街的房间晚上有些吵。', '短评打分': 5}
{'短评内容': '马马虎虎，一般吧', '短评打分': 3}
{'短评内容': '第二次住这里了，隔音太差，设施只能说还算过得去，早餐品种少，味道一般，位置在西郊，旅游的话不是很方便。', '短评打分': 3}
{'短评内容': '房间比较大很舒适，电视不能看，很干净，卫生间有些漏水，服务员很少，交通挺方便的。', '短评打分': 3}
{'短评内容': '隔音很差，隔壁说话听的清清楚楚，如果是旅游建议不要住在这里，很不方便。', '短评打分': 1}
{'短评内容': '这家酒店虽然叫商务酒店，本人入住的是商务大床房，感觉就是一个快捷酒店，设施比快捷酒店略好一些，其他的没什么特点。网速很快，早餐很简单，和一般的快捷酒店早餐没什么区别。房间隔音很差，旁边说话听的清清楚楚，位置在东郊，旅游的话很不方便。', '短评打分': 5}
