{'短评内容': '除了太原的空气质量不好，酒店的一切尚好', '短评打分': 5}
{'短评内容': '超好，前台服务员给升级的房间，服务周到', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '早餐中式为主，还不错。如果加入更多地方特色就更好了', '短评打分': 5}
{'短评内容': '不错的房间，不错的早餐！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '南楼商务房和行政房外面施工，很吵！这段时间大家注意了，建议住北楼', '短评打分': 4}
{'短评内容': '性价比最高，价格，服务，舒适', '短评打分': 5}
{'短评内容': '不错 老婆说住的挺好的', '短评打分': 5}
{'短评内容': '酒店不错，房间设施较好，唯一缺点是用电视遥控器坏的，小娃娃要看动画片，找客服来了好几次，换了不同的东西，折腾了一个多小时才好', '短评打分': 5}
{'短评内容': '不错 挺好的', '短评打分': 5}
{'短评内容': '不错，不错，挺好的啊', '短评打分': 5}
{'短评内容': '干净整洁', '短评打分': 5}
{'短评内容': '非常感谢您', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '正常正常，这次选择对了。房间大，配置全', '短评打分': 5}
{'短评内容': '环境交通都很方便，服务也不错', '短评打分': 4}
{'短评内容': '高端大气上档次！和价格成正比。', '短评打分': 5}
{'短评内容': '朋友说不错', '短评打分': 5}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '酒店服务很好，服务员很有礼貌，态度很好；酒店设施也很新，房间很干净；位于市中心，位置非常不错，交通很方便。西餐也很不错。价格也很合理。', '短评打分': 5}
