{'短评内容': '舒服  喜欢', '短评打分': 5}
{'短评内容': '前台态度冷淡，笑容没有。房间设施齐全，老旧程度中等，地毯是颜色给人脏脏的感觉，有沙发，比较舒服。电视频道齐全，电影频道和国外频道齐全！开关位置混乱，乱来一气！亮点是早餐质量好，水平超过房间了。。。。', '短评打分': 4}
{'短评内容': '干净整洁有序', '短评打分': 5}
{'短评内容': '早餐不错。房间宽敞。唯一不是太好的就是洗手盆空间太小。床还是挺舒服的。附近没有什么能逛的。服务还是可以的', '短评打分': 4}
{'短评内容': '还好，出差，一般般，', '短评打分': 4}
{'短评内容': '都还不错！', '短评打分': 5}
{'短评内容': '住的很舒服，以后还会预定', '短评打分': 5}
{'短评内容': '地处偏僻的苏州工业区，对面就是韩国三星电子的公司，周边环境不太好，幸亏是自驾出行，否则出去太不方便，早餐也一般，', '短评打分': 5}
{'短评内容': '在这个酒店附近没有更好的酒店了,所以不管你喜欢不喜欢都要住这个酒店.卫生还可以,但是,服务比前几年住的时候要差很多.希望以后能有改进.', '短评打分': 3}
{'短评内容': '在苏州工业园，地理位置方便，设施一般，不太干净。', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '房间很新，适合商务出行，交通不是很方便。', '短评打分': 5}
{'短评内容': '设施、服务、卫生都很好', '短评打分': 5}
{'短评内容': '还是一如既往的干净整洁，就是地理位置稍微有点偏 附件配套设施不全', '短评打分': 5}
{'短评内容': '很不错的酒店 设施都蛮好的 就是位置比较偏了点儿 周围没什么餐饮 ', '短评打分': 5}
{'短评内容': '不错的酒店，房间舒适，干净，唯一不理想的是周边无卖场很不方便。', '短评打分': 5}
{'短评内容': '非常好，朝南的房间既大又安静，床很舒服，枕头可以换好几种，出乎意料的好，绝对不逊色于园区的五星级酒店。唯一遗憾的是房间没有wifi覆盖。', '短评打分': 5}
{'短评内容': '卫生较好，房间较大，但离市区较远，交通不太方便。', '短评打分': 3}
{'短评内容': '酒店房间干净，入住舒适，床也比较舒适，适合欧洲人入住。每次客户去苏州，几乎都是订这家酒店，因为离工厂也很近，出行比较方便。', '短评打分': 5}
{'短评内容': '环境很不错，就是位置稍微有点偏，附近配套设施不齐全', '短评打分': 5}
{'短评内容': '酒店房间干净，入住舒适。每次去苏州都入住这家酒店。', '短评打分': 5}
{'短评内容': '酒店非常不错。床很高很软，一看就知道为欧洲人标准设计的。', '短评打分': 5}
{'短评内容': '房间干净舒适，每次来都住这家酒店。不错。就是周边没有商店。', '短评打分': 5}
{'短评内容': '房间干净舒适，只是周边没什么超市，每次来苏州都住这家酒店。', '短评打分': 5}
{'短评内容': '就是偏。没车根本没法去，很安静。就是想吃个夜宵很不方便。', '短评打分': 5}
{'短评内容': '酒店房间很宽敞 设施很好  床大 蛮喜欢的 ', '短评打分': 5}
{'短评内容': '酒店挺好，服务也不错，还有去金鸡湖的免费班车，美中不足，地处偏僻，没地方吃饭！', '短评打分': 3}
{'短评内容': '很好，很干净，网上订的价格也很合理，非常适合自驾的朋友入住！', '短评打分': 5}
{'短评内容': '很不错，除了地段偏远，周围无配套设施外，其他都很好。', '短评打分': 5}
{'短评内容': '好，房间大，床很舒服，房价再优惠点更好！！', '短评打分': 5}
{'短评内容': '客人比较少，很安静，店内硬件很好，很高档，很舒适。', '短评打分': 5}
{'短评内容': '房间干净，但是只是第一天有拖鞋，后面几天都没有给的新拖鞋。', '短评打分': 5}
{'短评内容': 'This hotel is nice and service is the best', '短评打分': 5}
{'短评内容': '酒店不错，地方虽然远了一点，但很清静服务态度很好，卫生也不错，早餐很丰富。', '短评打分': 5}
{'短评内容': '房间很大很舒适，空调差了点.......', '短评打分': 5}
{'短评内容': '酒店装修不错，很干净，环境也不错，推荐入住~', '短评打分': 5}
{'短评内容': ' 酒店还不错，房间设施都很时尚，交通不方便，', '短评打分': 3}
