{'短评内容': '遇到装修，直接心情down到极限', '短评打分': 2}
{'短评内容': '好好的', '短评打分': 5}
{'短评内容': '带孩子出门。房间挺好的，大，明亮，宽敞。距离火车站很近，走路就可以到了。就是没注意看，孩子还要带户口本或身份证', '短评打分': 4}
{'短评内容': '地理位置很赞，很方便。房间也挺大的，落地窗很漂亮很舒服。性价比超级高。就是厦门自从金砖后，小孩子入住也得带户口本和身份证。我们没带，还得去派出所开证明，真心麻烦。', '短评打分': 4}
{'短评内容': '离火车站近，离公交车站近，离餐馆近，不错！', '短评打分': 4}
{'短评内容': '棒棒棒棒棒棒', '短评打分': 5}
{'短评内容': '很不错的酒店，很好！！！！！！！', '短评打分': 5}
{'短评内容': '很不错的酒店，很好！！！！！', '短评打分': 5}
{'短评内容': '很不错的酒店！！！！！！', '短评打分': 5}
{'短评内容': '很不错！！！！！！！！！', '短评打分': 5}
{'短评内容': '不错，环境优雅干净，五星好评！！！！下次来厦门玩还住你们家！！！', '短评打分': 5}
{'短评内容': '位置很不错，但是就是周围改建，有点难找，其他都可以。', '短评打分': 5}
{'短评内容': '不错，前台的服务也很好，', '短评打分': 5}
{'短评内容': '很一般一般', '短评打分': 4}
{'短评内容': '从福州过来厦门玩两天，晚上11点多才到厦门，就随便定了个酒店，但是这个酒店是我住过最差的，房间太小了，东西也不齐全以后再也不敢住这种连锁酒店了', '短评打分': 2}
{'短评内容': '整体还不错，房间很大，早上去的比较早，清洁人员刚刚打扫完，闻到一股消毒水的味道，看来拖地会加消毒水。不过开门通下风就好了。房间窗户很大，采光好。洗漱用品有点少。酒店位置很好找，从车站出来跟着导航，走十分钟不到就找到了。总体很不错。', '短评打分': 4}
{'短评内容': 'ok    ', '短评打分': 3}
{'短评内容': '我爹我妈一共住了三天，价格不贵，一百多一点，出门去哪里都方便，吃饭的地方也多，挺好的，还是阳面的落地窗。', '短评打分': 5}
{'短评内容': '我给爸妈定的房子，他俩厦门自由行，说房间挺干净的，也好找，WiFi密码就贴在桌子上，不用老头老太太到处问。去哪也都挺方便。', '短评打分': 5}
{'短评内容': '之前住的感觉不错，所以这次继续选择了海友。可惜这次住宿环境，设施都没之前好了。而且这次住的307靠近路边，实在太吵了，楼上有个减速带，车子一经过都要非常巨大声音，2个晚上都没有睡好', '短评打分': 3}
{'短评内容': '交通便利，去景点有公交车。', '短评打分': 3}
