{'短评内容': '环境相当不错', '短评打分': 5}
{'短评内容': '来京山出差经常住的店', '短评打分': 5}
{'短评内容': '加不了床', '短评打分': 5}
{'短评内容': '有专门院子停车场，每次出差住这里', '短评打分': 4}
{'短评内容': '环境不错，性价比高', '短评打分': 5}
{'短评内容': '早餐还可以，有专门停车场', '短评打分': 5}
{'短评内容': '不错的选择不错的选择哦', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '还可以，环境安静，位置稍偏', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '酒店环境不错', '短评打分': 5}
{'短评内容': '室外环境和房间环境确实不错。后面还带花园', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '火车站长途汽车站旁', '短评打分': 4}
{'短评内容': '房间蛮干净，环境也挺好的，很安静，不是很新', '短评打分': 4}
{'短评内容': '环境很好，房间一般般', '短评打分': 3}
{'短评内容': '酒店环境蛮好，房间一般般', '短评打分': 3}
{'短评内容': '还可以吧！', '短评打分': 4}
{'短评内容': '鸟语花香，绿树成荫，很不错，空气好，很安静，下次再去。', '短评打分': 5}
{'短评内容': '酒店位置较偏，在凯立德上查不到，不过环境很好，很安静，象度假村。\n房间内部设置和其它酒店一样，卫生间有些小。\n入住的二楼有个面积不小的阳台，这个与从不同。\n\n个人认为值得选择！', '短评打分': 5}
