{'短评内容': '早餐自助餐，菜品丰富，挺好！', '短评打分': 5}
{'短评内容': '都挺好', '短评打分': 4}
{'短评内容': '非常好的酒店，装修很新，位置很好', '短评打分': 5}
{'短评内容': '五洋酒店的环境很好，布局合理。墙壁上布满了文人墨客的字画，觉得很有文化底蕴。应该是浙江人开发的，兼具南北风格于一体。收费也不贵！', '短评打分': 4}
{'短评内容': '连续三年选择这家酒店了，一直觉得很好。', '短评打分': 5}
{'短评内容': '经常入住的酒店，唯一的选择，没啥好说了', '短评打分': 4}
{'短评内容': '䁔气非常差', '短评打分': 5}
{'短评内容': '酒店环境非常好！空调很给力，房间特别暖和，，，就是无线网络信号不太好。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '呼图壁最好的酒店，超赞', '短评打分': 5}
{'短评内容': '总体来说性价比不高，位置不太好找，内部设施还可以，就是一些局部的细节做得不好：考卫生间的那堵墙的壁纸都烂了，面盆有破损等，洗漱用品也相当寒酸都不及快捷酒店。早餐还是可以的，种类比较多。', '短评打分': 4}
{'短评内容': '算是呼图壁当地最好的酒店了！感觉不错！可推荐再次入住。', '短评打分': 4}
{'短评内容': '周边无商业设施，吃饭的地方较少，饭馆比较一般化。 酒店在小县城是较好的，价格较高。', '短评打分': 3}
{'短评内容': '还好吧，这个县城里最好的酒店了吧，吃饭也相对方便。', '短评打分': 4}
{'短评内容': '千万不要用该酒店雨伞，本人在下雨时，用过雨伞，轻轻一甩就坏了，跟纸糊的似的，结果被罚100元。', '短评打分': 3}
{'短评内容': '不错！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '十环境不错，也比较安静。', '短评打分': 3}
{'短评内容': '比较偏，小县城没有什么服务意识，在当地住此店实属无奈，其他宾馆酒店可能更差。\n晚上停车在酒店门口停车场被车撞坏了保险杠和雾灯，酒店声称不负责，报警后警察称没办法查（调了监控看到车是在当天下午16点多被一辆车在倒车时撞到）。\n无语，要赶路只好自认倒霉！', '短评打分': 1}
{'短评内容': '如果你对服务质量没有任何要求的话该酒店是一个不错的选择，毕竟是“星级”酒店。\n价位尚可。', '短评打分': 1}
