{'descr': '就一般般吧', 'star': 2}
{'descr': '还可以，离江都汽车站一步之遥，坐车挺方便。缺点靠窗房间有点吵，酒店周围配套设施一般，夜晚很冷清，只有一家KTV。', 'star': 4}
{'descr': '服务周到，环境不错', 'star': 5}
{'descr': '不错哦！                                                 ', 'star': 5}
{'descr': '有停车场，交通便利', 'star': 4}
{'descr': '还不错，离车站很近！生活也很方便！', 'star': 5}
{'descr': '总体还不错，性价比还行。', 'star': 5}
{'descr': '真孬，', 'star': 2}
{'descr': '一般化，味道大', 'star': 2}
{'descr': '一般', 'star': 3}
{'descr': '很好的，不错哦，评论一下', 'star': 5}
{'descr': '不咋地啊', 'star': 1}
{'descr': '环境一般！', 'star': 4}
{'descr': '还行 开车去西湖40分钟 就是停车位少点 酒店挺好', 'star': 5}
{'descr': '正对马路，来往车辆多，噪声大。设施旧。', 'star': 1}
