{'短评内容': '荣成名人酒店位于荣成市繁华地带，周边餐饮和商业超市齐全，荣成名人酒店位于荣成交通要道进出比较方便，酒店软件和硬件设施齐全是商务之旅不错的选择。', '短评打分': 5}
{'短评内容': '荣成名人酒店位于荣成市繁华地带，周边餐饮和商业超市齐全，酒店位于进出荣成市必经之路，来往交通便利，酒店软硬件设施齐全是商务之旅不错的选择。', '短评打分': 5}
{'短评内容': '有停车场，早餐非常好', '短评打分': 5}
{'短评内容': '荣成名人酒店位于荣成市繁华地带，周边餐饮和商业超市齐全，荣成名人酒店软件和硬件设施齐全，酒店位于荣成进出的交通要道，来往方便，是商务之旅不错的选择。', '短评打分': 5}
{'短评内容': '荣成名人酒店位于荣成市繁华地带，周边餐饮和商业超市齐全，荣成名人酒店位于进山荣成的必经之路，交通方便，荣成名人酒店软件和硬件设施齐全是商务之旅不错选择。', '短评打分': 5}
{'短评内容': '酒店可以，干净，卫生', '短评打分': 5}
{'短评内容': '酒店很好，我很喜欢', '短评打分': 5}
{'短评内容': '服务好卫生也挺不错的下次还来', '短评打分': 5}
{'短评内容': '空调很给力 一进门暖气扑面而来 太爽了 推荐', '短评打分': 5}
{'短评内容': '性价比很高，房间也不错，很干净！', '短评打分': 5}
{'短评内容': '性价比很高，房间也不错，很干净！', '短评打分': 5}
{'短评内容': '房间小的令人发指，是因为携程用户吗？首次遇上要求一点半退房的，不知道是什么规矩。将近两点退房时，告诉我超时了，还好人家大度，免了我的超时费用。我谢谢您了。', '短评打分': 3}
{'短评内容': '挺好的 不错', '短评打分': 3}
{'短评内容': '酒店来回交通方便，周边环境优美购物就餐都比较便利，酒店软硬件设施齐全，员工服务非常周到，是商务之旅不错的选择。', '短评打分': 5}
{'短评内容': '环境非常好', '短评打分': 5}
{'短评内容': '环境非常好', '短评打分': 5}
{'短评内容': '环境非常好', '短评打分': 5}
{'短评内容': '卫生问题还有待改善.', '短评打分': 4}
{'短评内容': '还可吧', '短评打分': 4}
{'短评内容': '环境很好，卫生干净，服务态度很好，早餐很丰盛', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '干净整洁，还不错', '短评打分': 4}
