{'短评内容': '挺好的，经常住的', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '厕所居然没有门也是尴尬，隔壁不知道是不是个ktv凌晨两点还有人在鬼哭狼嚎的唱歌，搞的觉也没睡好，唯一的优点就是淋浴的水比较大，洗澡还可以。', '短评打分': 4}
{'短评内容': '续住一晚，宾馆我觉得干净就非常好，不用太多装饰，豪华，房间干净才是王道，这家店性价比还是很不错的，值得去住', '短评打分': 4}
{'短评内容': '性价比不错，距离码头也不远，有车免费送过去，老板人也不错', '短评打分': 4}
{'短评内容': '不太实诚，后来跟我说我有一间房他们查不到，只查到我下了一个艺龙的单子，比我实际的那个单子贵50块，客气的付完钱以后我后来还找平台客服了解这个事情，觉得莫名其妙，后来才意识到是店里做了手脚，估计自己用我的身份证和名字在艺龙下了个单子再拿给我看。不知道有没有旅客和我碰到一样的情况，望堤防。除了这个小手脚，其他都没问题', '短评打分': 5}
{'短评内容': '不算很愉快，但是总体还行吧，过去出游的，还是建议就住在定海区吧，因为沈家门的吃的都太贵了…', '短评打分': 4}
{'短评内容': '地段好，老板娘热情', '短评打分': 5}
{'短评内容': '房间很大，很满意。', '短评打分': 5}
{'短评内容': '老板娘很热心', '短评打分': 5}
{'短评内容': '地理位置不错，价格实惠，续住了一天', '短评打分': 3}
{'短评内容': '地理位置不错，价格实惠。', '短评打分': 3}
{'短评内容': '不知道是不是因为我是特价房，房间很小，周围倒是很方便。', '短评打分': 3}
