{'短评内容': '还不错的条件，就是早饭差了一点', '短评打分': 5}
{'短评内容': '性价比很高！值得再次入住', '短评打分': 5}
{'短评内容': '入住非常舒适非常好', '短评打分': 5}
{'短评内容': '大堂服务满意，房间卫生，早餐丰富', '短评打分': 5}
{'短评内容': '非常好，非常满意，环境服务都很好', '短评打分': 5}
{'短评内容': '环境很好，服务也特别好', '短评打分': 5}
{'短评内容': '服务很好，房间也不错', '短评打分': 5}
{'短评内容': '还行，就是有点旧', '短评打分': 4}
{'短评内容': '房间隔音很差，周围房门开关，走廊有人说话都听的很清楚。房间wifi就是摆设，早餐还不错。服务挺好', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间小，其它还好', '短评打分': 5}
{'短评内容': '非常好的酒店！酒店外观低调，但是服务一流，服务人员素质高，装修装饰家居雅致上档次，明亮干净舒适，不仅送水果、酸奶，晚上还有贴心的报纸面膜，并为客人床边摆放好拖鞋。有幸选择南京熊猫金陵大酒店，特别棒的住宿体验，真心点赞，希望酒店越来越好', '短评打分': 5}
{'短评内容': '酒店装修尚可，大堂挺气派，是周围比较高档的酒店了，房间密封挺好，基本听不到街上的噪音，就是灯偏暗，让人感觉有点压抑。下次还住这里。', '短评打分': 4}
{'短评内容': '很不错，值得一试', '短评打分': 4}
{'短评内容': '离火车站很近，酒店不错。', '短评打分': 4}
{'短评内容': '房间有较大油漆味，早餐品种不是很多，有待提高。', '短评打分': 5}
{'短评内容': '条件好，房间大，幽静，很满意。', '短评打分': 5}
{'短评内容': '不错，干净整洁，就是楼下的西餐厅让人以为是只吃西餐的地方。', '短评打分': 5}
{'短评内容': '酒店还不错，房间挺干净，就是周边没什么东西', '短评打分': 5}
{'短评内容': '总体不错，就是地理位置有些偏，房间比较干净，早餐一般。', '短评打分': 5}
{'短评内容': '华茂国际酒店还行，但价位偏高、卫生间设施还好，其余显旧。', '短评打分': 3}
{'短评内容': '酒店隔音效果太差，早饭品种太少。不建议入住。', '短评打分': 1}
{'短评内容': '还行吧。酒店外观、大厅、早点都还是很不错的，要看住什么房间了，有些房间真不怎么好，有些房间就挺好。根据自己的需要吧。', '短评打分': 5}
{'短评内容': '这次入住一点都不好，洗澡水都是冷的，下次不会去了', '短评打分': 1}
{'短评内容': '酒店气派，环境好，服务优，价格适中，交通便利', '短评打分': 5}
{'短评内容': '还不错，这有酒店有叫餐服务，洗澡水也很好，交通也方便。', '短评打分': 5}
{'短评内容': 'alway nice as before, network improved.....', '短评打分': 5}
{'短评内容': '住到舒适房，性价比比较高。酒店装修和环境都很好，出行也方便，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店新开的，还行，空调挺够力的，就是早餐稍显差劲。', '短评打分': 3}
{'短评内容': '还不错，空调挺好，就是早餐够不上四星，总体一般。', '短评打分': 5}
{'短评内容': '准四星级酒店设计，交通方便，服务态度好，早餐较为丰富，好评，', '短评打分': 5}
{'短评内容': '房间小，极小，地方还可以，但是省空间到极致，很不值这个价格', '短评打分': 1}
{'短评内容': '郁闷，已经是第二次入住，每次都住一个星期，今日计划退房，早饭吃过回房间本想上网查收一下邮件后收拾衣服退房，却未曾想网络连接已断掉，看来酒店在暗示自己离开了，就差下一步的断水断电了', '短评打分': 1}
{'短评内容': '如点评所说，网络确实有问题，修了大概半小时修好的，硬件不错，早饭我八点三刻去的，基本没东西吃了', '短评打分': 3}
{'短评内容': '在南京还算不错啦，368元含早，就是房间里有股异味，开了窗还是有，位置不错，靠近汽车站和火车站', '短评打分': 5}
{'短评内容': '房间有一股味道，不知道是什么缘故。窗会自动响。卫生间没有晾衣绳，不太方便。网络必须打电话到前台才会开通。\n其他还行。', '短评打分': 5}
{'短评内容': '酒店不错，挺好的，因为比较新。所以设施都不错。值得推荐', '短评打分': 5}
{'短评内容': 'always nice as before,but the network.....', '短评打分': 5}
{'短评内容': '酒店大堂比较气派，设施也都不错，我订的舒适房，比较实惠，早餐品种也很多，服务比较热情，下次还会来', '短评打分': 5}
{'短评内容': '离火车南站稍稍有点远，打车45元。酒店服务和舒适度还不错。', '短评打分': 5}
{'短评内容': '房间和环境一般', '短评打分': 3}
{'短评内容': 'just ok............................', '短评打分': 5}
{'短评内容': 'good place to stay, but internet always unstable........', '短评打分': 5}
{'短评内容': '环境很好，交通便利。', '短评打分': 3}
{'短评内容': '好!', '短评打分': 3}
