{'短评内容': '川汇大酒店在周口市来说还是不错的。给个好评吧。', '短评打分': 3}
{'短评内容': '比较一般。服务员态度很生硬，室内卫生也比较敷衍。虽说价格比较便宜，但该酒店周边同等价位的酒店也很多', '短评打分': 1}
{'短评内容': '酒店的话规模还可以，就是内部装修有点老！', '短评打分': 1}
{'短评内容': '川汇大酒店卫生不错，服务周到，早餐丰盛。', '短评打分': 3}
{'短评内容': '性价比可以，还算干净、有电脑能上网。就是早餐不怎么样。', '短评打分': 5}
{'短评内容': '条件差价钱便宜', '短评打分': 3}
{'短评内容': '地理位置优越，出门‘乘车方便，早餐很好。', '短评打分': 5}
{'短评内容': '还可以吧，没页面上宣传的好，感谢网站的提供!', '短评打分': 3}
{'短评内容': '一般吧\n我住的是138的，还可以\n80的不能住啊 床单还脏 潮湿', '短评打分': 1}
{'短评内容': '卫生条件还可以。早餐不错。好评！', '短评打分': 3}
{'短评内容': '实在是一家很糟糕的酒店,房间霉味很重阿!!!', '短评打分': 1}
{'短评内容': '价格便宜，物美价廉，住着还算比较实惠，如果有需要还会来的！', '短评打分': 5}
{'短评内容': '酒店与网上图片差异较大，卫生条件差，被褥潮', '短评打分': 3}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '已经住进来了，还不错，就是没早餐！', '短评打分': 3}
{'短评内容': '很好干净', '短评打分': 3}
